data_collection,source,date,province,case_type,cases
archived,govt_canada_ph,2020-01-31 9:00,BC,conf,1
archived,govt_canada_ph,2020-02-08 9:00,BC,conf,4
archived,govt_canada_ph,2020-02-14 9:00,BC,conf,4
archived,govt_canada_ph,2020-02-16 9:00,BC,conf,5
archived,govt_canada_ph,2020-02-20 9:00,BC,conf,5
archived,govt_canada_ph,2020-02-21 9:00,BC,conf,6
archived,govt_canada_ph,2020-02-24 9:00,BC,conf,6
archived,govt_canada_ph,2020-02-25 9:00,BC,conf,7
archived,govt_canada_ph,2020-02-26 9:00,BC,conf,7
archived,govt_canada_ph,2020-02-27 9:00,BC,conf,7
archived,govt_canada_ph,2020-02-29 9:00,BC,conf,7
archived,govt_canada_ph,2020-03-01 9:00,BC,conf,8
archived,govt_canada_ph,2020-03-03 9:00,BC,conf,12
archived,govt_canada_ph,2020-03-05 9:00,BC,conf,21
archived,govt_canada_ph,2020-03-06 9:00,BC,conf,21
archived,govt_canada_ph,2020-03-07 9:00,BC,conf,27
archived,govt_canada_ph,2020-03-08 9:00,BC,conf,27
archived,govt_canada_ph,2020-03-10 9:00,BC,conf,32
archived,govt_canada_ph,2020-03-11 9:00,BC,conf,39
archived,govt_canada_ph,2020-03-12 9:00,BC,conf,46
archived,govt_canada_ph,2020-03-14 9:00,BC,conf,64
archived,govt_canada_ph,2020-03-15 9:00,BC,conf,73
archived,govt_canada_ph,2020-03-12 9:00,BC,prob,0
archived,govt_canada_ph,2020-03-14 9:00,BC,prob,0
archived,govt_canada_ph,2020-03-15 9:00,BC,prob,0
archived,govt_canada_ph,2020-03-08 9:00,AB,conf,1
archived,govt_canada_ph,2020-03-10 9:00,AB,conf,7
archived,govt_canada_ph,2020-03-11 9:00,AB,conf,14
archived,govt_canada_ph,2020-03-12 9:00,AB,conf,19
archived,govt_canada_ph,2020-03-14 9:00,AB,conf,29
archived,govt_canada_ph,2020-03-15 9:00,AB,conf,39
archived,govt_canada_ph,2020-03-12 9:00,AB,prob,0
archived,govt_canada_ph,2020-03-14 9:00,AB,prob,0
archived,govt_canada_ph,2020-03-15 9:00,AB,prob,0
archived,govt_canada_ph,2020-03-12 9:00,SK,conf,0
archived,govt_canada_ph,2020-03-14 9:00,SK,conf,0
archived,govt_canada_ph,2020-03-15 9:00,SK,conf,1
archived,govt_canada_ph,2020-03-12 9:00,SK,prob,1
archived,govt_canada_ph,2020-03-14 9:00,SK,prob,2
archived,govt_canada_ph,2020-03-15 9:00,SK,prob,5
archived,govt_canada_ph,2020-03-12 9:00,MB,conf,0
archived,govt_canada_ph,2020-03-14 9:00,MB,conf,1
archived,govt_canada_ph,2020-03-15 9:00,MB,conf,4
archived,govt_canada_ph,2020-03-12 9:00,MB,prob,1
archived,govt_canada_ph,2020-03-14 9:00,MB,prob,3
archived,govt_canada_ph,2020-03-15 9:00,MB,prob,3
archived,govt_canada_ph,2020-01-31 9:00,ON,conf,3
archived,govt_canada_ph,2020-02-08 9:00,ON,conf,3
archived,govt_canada_ph,2020-02-14 9:00,ON,conf,3
archived,govt_canada_ph,2020-02-16 9:00,ON,conf,3
archived,govt_canada_ph,2020-02-20 9:00,ON,conf,3
archived,govt_canada_ph,2020-02-21 9:00,ON,conf,3
archived,govt_canada_ph,2020-02-24 9:00,ON,conf,4
archived,govt_canada_ph,2020-02-25 9:00,ON,conf,4
archived,govt_canada_ph,2020-02-26 9:00,ON,conf,5
archived,govt_canada_ph,2020-02-27 9:00,ON,conf,6
archived,govt_canada_ph,2020-02-29 9:00,ON,conf,8
archived,govt_canada_ph,2020-03-01 9:00,ON,conf,15
archived,govt_canada_ph,2020-03-03 9:00,ON,conf,20
archived,govt_canada_ph,2020-03-05 9:00,ON,conf,22
archived,govt_canada_ph,2020-03-06 9:00,ON,conf,28
archived,govt_canada_ph,2020-03-07 9:00,ON,conf,28
archived,govt_canada_ph,2020-03-08 9:00,ON,conf,31
archived,govt_canada_ph,2020-03-10 9:00,ON,conf,34
archived,govt_canada_ph,2020-03-11 9:00,ON,conf,42
archived,govt_canada_ph,2020-03-12 9:00,ON,conf,59
archived,govt_canada_ph,2020-03-14 9:00,ON,conf,79
archived,govt_canada_ph,2020-03-15 9:00,ON,conf,142
archived,govt_canada_ph,2020-03-12 9:00,ON,prob,0
archived,govt_canada_ph,2020-03-14 9:00,ON,prob,0
archived,govt_canada_ph,2020-03-15 9:00,ON,prob,0
archived,govt_canada_ph,2020-03-01 9:00,QC,conf,1
archived,govt_canada_ph,2020-03-03 9:00,QC,conf,1
archived,govt_canada_ph,2020-03-05 9:00,QC,conf,2
archived,govt_canada_ph,2020-03-06 9:00,QC,conf,2
archived,govt_canada_ph,2020-03-07 9:00,QC,conf,2
archived,govt_canada_ph,2020-03-08 9:00,QC,conf,3
archived,govt_canada_ph,2020-03-10 9:00,QC,conf,4
archived,govt_canada_ph,2020-03-11 9:00,QC,conf,7
archived,govt_canada_ph,2020-03-12 9:00,QC,conf,13
archived,govt_canada_ph,2020-03-14 9:00,QC,conf,17
archived,govt_canada_ph,2020-03-15 9:00,QC,conf,39
archived,govt_canada_ph,2020-03-12 9:00,QC,prob,0
archived,govt_canada_ph,2020-03-14 9:00,QC,prob,0
archived,govt_canada_ph,2020-03-15 9:00,QC,prob,0
archived,govt_canada_ph,2020-03-15 9:00,NL,conf,0
archived,govt_canada_ph,2020-03-15 9:00,NL,prob,1
archived,govt_canada_ph,2020-03-12 9:00,NB,conf,0
archived,govt_canada_ph,2020-03-14 9:00,NB,conf,1
archived,govt_canada_ph,2020-03-15 9:00,NB,conf,1
archived,govt_canada_ph,2020-03-12 9:00,NB,prob,1
archived,govt_canada_ph,2020-03-14 9:00,NB,prob,1
archived,govt_canada_ph,2020-03-15 9:00,NB,prob,5
archived,govt_canada_ph,2020-03-15 9:00,NS,conf,0
archived,govt_canada_ph,2020-03-15 9:00,NS,prob,3
archived,govt_canada_ph,2020-03-15 9:00,PEI,conf,1
archived,govt_canada_ph,2020-03-15 9:00,PEI,prob,0
archived,govt_canada_ph,2020-03-11 9:00,Repat,conf,1
archived,govt_canada_ph,2020-03-12 9:00,Repat,conf,1
archived,govt_canada_ph,2020-03-14 9:00,Repat,conf,2
archived,govt_canada_ph,2020-03-15 9:00,Repat,conf,4
archived,govt_canada_ph,2020-03-12 9:00,Repat,prob,0
archived,govt_canada_ph,2020-03-14 9:00,Repat,prob,0
archived,govt_canada_ph,2020-03-15 9:00,Repat,prob,0
live,govt_canada_ph,2020-03-17 10:30,BC,conf,103
live,govt_canada_ph,2020-03-17 10:30,BC,prob,0
live,govt_canada_ph,2020-03-17 10:30,AB,conf,74
live,govt_canada_ph,2020-03-17 10:30,AB,prob,0
live,govt_canada_ph,2020-03-17 10:30,SK,conf,2
live,govt_canada_ph,2020-03-17 10:30,SK,prob,5
live,govt_canada_ph,2020-03-17 10:30,MB,conf,7
live,govt_canada_ph,2020-03-17 10:30,MB,prob,0
live,govt_canada_ph,2020-03-17 10:30,ON,conf,177
live,govt_canada_ph,2020-03-17 10:30,ON,prob,0
live,govt_canada_ph,2020-03-17 10:30,QC,conf,50
live,govt_canada_ph,2020-03-17 10:30,QC,prob,0
live,govt_canada_ph,2020-03-17 10:30,NL,conf,0
live,govt_canada_ph,2020-03-17 10:30,NL,prob,1
live,govt_canada_ph,2020-03-17 10:30,NB,conf,2
live,govt_canada_ph,2020-03-17 10:30,NB,prob,5
live,govt_canada_ph,2020-03-17 10:30,NS,conf,0
live,govt_canada_ph,2020-03-17 10:30,NS,prob,5
live,govt_canada_ph,2020-03-17 10:30,PEI,conf,1
live,govt_canada_ph,2020-03-17 10:30,PEI,prob,0
live,govt_canada_ph,2020-03-17 10:30,Repat,conf,8
live,govt_canada_ph,2020-03-17 10:30,Repat,prob,0
live,govt_canada_ph,2020-03-17 20:00,BC,conf,186
live,govt_canada_ph,2020-03-17 20:00,BC,prob,0
live,govt_canada_ph,2020-03-17 20:00,AB,conf,97
live,govt_canada_ph,2020-03-17 20:00,AB,prob,0
live,govt_canada_ph,2020-03-17 20:00,SK,conf,2
live,govt_canada_ph,2020-03-17 20:00,SK,prob,6
live,govt_canada_ph,2020-03-17 20:00,MB,conf,8
live,govt_canada_ph,2020-03-17 20:00,MB,prob,7
live,govt_canada_ph,2020-03-17 20:00,ON,conf,189
live,govt_canada_ph,2020-03-17 20:00,ON,prob,0
live,govt_canada_ph,2020-03-17 20:00,QC,conf,74
live,govt_canada_ph,2020-03-17 20:00,QC,prob,0
live,govt_canada_ph,2020-03-17 20:00,NL,conf,0
live,govt_canada_ph,2020-03-17 20:00,NL,prob,1
live,govt_canada_ph,2020-03-17 20:00,NB,conf,2
live,govt_canada_ph,2020-03-17 20:00,NB,prob,6
live,govt_canada_ph,2020-03-17 20:00,NS,conf,1
live,govt_canada_ph,2020-03-17 20:00,NS,prob,6
live,govt_canada_ph,2020-03-17 20:00,PEI,conf,1
live,govt_canada_ph,2020-03-17 20:00,PEI,prob,0
live,govt_canada_ph,2020-03-17 20:00,Repat,conf,9
live,govt_canada_ph,2020-03-17 20:00,Repat,prob,0
live,govt_canada_ph,2020-03-18 17:20,BC,conf,186
live,govt_canada_ph,2020-03-18 17:20,BC,prob,0
live,govt_canada_ph,2020-03-18 17:20,AB,conf,97
live,govt_canada_ph,2020-03-18 17:20,AB,prob,0
live,govt_canada_ph,2020-03-18 17:20,SK,conf,2
live,govt_canada_ph,2020-03-18 17:20,SK,prob,14
live,govt_canada_ph,2020-03-18 17:20,MB,conf,15
live,govt_canada_ph,2020-03-18 17:20,MB,prob,0
live,govt_canada_ph,2020-03-18 17:20,ON,conf,212
live,govt_canada_ph,2020-03-18 17:20,ON,prob,0
live,govt_canada_ph,2020-03-18 17:20,QC,conf,94
live,govt_canada_ph,2020-03-18 17:20,QC,prob,0
live,govt_canada_ph,2020-03-18 17:20,NL,conf,0
live,govt_canada_ph,2020-03-18 17:20,NL,prob,3
live,govt_canada_ph,2020-03-18 17:20,NB,conf,2
live,govt_canada_ph,2020-03-18 17:20,NB,prob,9
live,govt_canada_ph,2020-03-18 17:20,NS,conf,3
live,govt_canada_ph,2020-03-18 17:20,NS,prob,9
live,govt_canada_ph,2020-03-18 17:20,PEI,conf,1
live,govt_canada_ph,2020-03-18 17:20,PEI,prob,0
live,govt_canada_ph,2020-03-18 17:20,Repat,conf,9
live,govt_canada_ph,2020-03-18 17:20,Repat,prob,0
live,govt_canada_ph,2020-03-19 11:30,BC,conf,231
live,govt_canada_ph,2020-03-19 11:30,BC,prob,0
live,govt_canada_ph,2020-03-19 11:30,AB,conf,119
live,govt_canada_ph,2020-03-19 11:30,AB,prob,0
live,govt_canada_ph,2020-03-19 11:30,SK,conf,2
live,govt_canada_ph,2020-03-19 11:30,SK,prob,14
live,govt_canada_ph,2020-03-19 11:30,MB,conf,15
live,govt_canada_ph,2020-03-19 11:30,MB,prob,0
live,govt_canada_ph,2020-03-19 11:30,ON,conf,257
live,govt_canada_ph,2020-03-19 11:30,ON,prob,0
live,govt_canada_ph,2020-03-19 11:30,QC,conf,94
live,govt_canada_ph,2020-03-19 11:30,QC,prob,0
live,govt_canada_ph,2020-03-19 11:30,NL,conf,1
live,govt_canada_ph,2020-03-19 11:30,NL,prob,2
live,govt_canada_ph,2020-03-19 11:30,NB,conf,2
live,govt_canada_ph,2020-03-19 11:30,NB,prob,9
live,govt_canada_ph,2020-03-19 11:30,NS,conf,5
live,govt_canada_ph,2020-03-19 11:30,NS,prob,9
live,govt_canada_ph,2020-03-19 11:30,PEI,conf,1
live,govt_canada_ph,2020-03-19 11:30,PEI,prob,0
live,govt_canada_ph,2020-03-19 11:30,Repat,conf,9
live,govt_canada_ph,2020-03-19 11:30,Repat,prob,0
live,govt_canada_ph,2020-03-19 18:30,BC,conf,271
live,govt_canada_ph,2020-03-19 18:30,BC,prob,0
live,govt_canada_ph,2020-03-19 18:30,AB,conf,146
live,govt_canada_ph,2020-03-19 18:30,AB,prob,0
live,govt_canada_ph,2020-03-19 18:30,SK,conf,8
live,govt_canada_ph,2020-03-19 18:30,SK,prob,12
live,govt_canada_ph,2020-03-19 18:30,MB,conf,17
live,govt_canada_ph,2020-03-19 18:30,MB,prob,0
live,govt_canada_ph,2020-03-19 18:30,ON,conf,258
live,govt_canada_ph,2020-03-19 18:30,ON,prob,0
live,govt_canada_ph,2020-03-19 18:30,QC,conf,121
live,govt_canada_ph,2020-03-19 18:30,QC,prob,0
